,Scientific Name,Class,Order,Family,Trend,Status,Life Span (years),Length (cm),Weight (kg),Is Social,Is Nocturnal,Diet,Mating Behavior,Incubation Period (days),Baby Carrying,Independent Age (days),Africa,Antarctica,Asia,Europe,Oceania,South America,Central America,North America,Cold,Dry/Desert,Polar/Tundra,Temperate,Tropical
1083,Phoenicopterus ruber,aves,phoenicopteriformes,phoenicopteridae,2,0,45,121.0318859,1.8008,1,0,1,0,29,1,72.5,0,0,0,0,0,0,0,0,0,0,0,0,1
1084,Nymphicus hollandicus,aves,psittaciformes,cacatuidae,1,0,23,32.5,0.09,1,0,2,0,21,5.5,31.5,0,0,0,0,1,0,0,0,0,0,0,0,0
1085,Aquila chrysaetos,aves,accipitriformes,accipitridae,1,0,39,84,4,0,0,1,0,43,2.5,141,1,0,1,1,0,0,0,0,1,1,0,1,0
1086,Lophochroa leadbeateri,aves,psittaciformes,cacatuidae,1,0,70,37.5,0.375,1,0,2,0,26.5,3.5,105,0,0,0,0,1,0,0,0,0,1,0,0,0
1087,Callocephalon fimbriatum,aves,psittaciformes,cacatuidae,2,0,50,34.5,0.305,1,0,2,0,27,2,91,0,0,0,0,1,0,0,0,0,0,0,1,0
1088,Sialia sialis,aves,passeriformes,turdidae,2,0,8,18.5,0.0305,1,0,0,0,13,4,60,0,0,0,0,0,0,0,0,1,1,0,1,1
1089,Paroaria coronata,aves,passeriformes,thraupidae,1,0,15,19,0.0325,1,0,0,0,13.99456522,3.5,28.70652174,0,0,0,0,0,0,0,0,0,0,0,1,1
1090,Ardea alba,aves,pelecaniformes,ardeidae,1,0,18.5,92,0.3505,1,0,1,0,23.5,3.5,45.5,1,1,1,1,1,0,0,0,1,1,0,1,1
1091,Grus japonensis,aves,gruiformes,gruidae,0,1,50,125.5,7,1,0,0,0,31.5,2,70,0,0,1,0,0,0,0,0,1,0,0,1,0
1092,Sialia currucoides,aves,passeriformes,turdidae,2,0,7.5,17.5,0.0305,1,0,3,0,13.5,6,59.5,0,0,0,0,0,0,0,0,1,1,1,1,0
1093,Balearica regulorum,aves,gruiformes,gruidae,0,1,23.5,190,3.5,1,0,0,0,55,2.5,78,1,0,0,0,0,0,0,0,0,1,0,1,1
1094,Gyps africanus,aves,accipitriformes,accipitridae,0,1,19,88,5.5,1,0,1,0,56,1,120,1,0,0,0,0,0,0,0,0,1,0,1,1
