,Scientific Name,Class,Order,Family,Trend,Status,Life Span (years),Length (cm),Weight (kg),Is Social,Is Nocturnal,Diet,Mating Behavior,Incubation Period (days),Baby Carrying,Independent Age (days),Africa,Antarctica,Asia,Europe,Oceania,South America,Central America,North America,Cold,Dry/Desert,Polar/Tundra,Temperate,Tropical
1095,Coronella austriaca,reptilia,squamata,colubridae,0.0,0.0,30.0,67.5,,0,0,1.0,,,9.5,,0,0,1,1,0,0,0,0,0,0,0,1,0
1096,Podarcis siculus ,reptilia,squamata,lacertidae,2.0,0.0,,9.0,,0,0,1.0,,42.0,6.5,,0,0,0,1,0,0,0,0,0,0,0,1,0
1097,Thamnophis elegans,reptilia,squamata,colubridae,1.0,0.0,7.0,75.0,0.15,0,0,1.0,1.0,,10.0,,0,0,0,0,0,0,0,0,0,0,0,1,0
1098,Glyptemys muhlenbergii,reptilia,testudines,emydidae,,1.0,35.0,9.5,0.11,1,0,0.0,,61.0,3.5,,0,0,0,0,0,0,0,0,0,0,0,1,0
1099,Graptemys geographica,reptilia,testudines,emydidae,1.0,0.0,17.5,18.5,0.076,0,0,1.0,,60.0,13.0,,0,0,0,0,0,0,0,0,0,0,0,1,0
1100,Protobothrops flavoviridis,reptilia,squamata,viperidae,0.0,0.0,,180.0,,0,1,1.0,,38.5,9.5,,0,0,1,0,0,0,0,0,0,0,0,0,1
1101,Eolophus roseicapilla,aves,psittaciformes,cacatuidae,2.0,0.0,40.0,35.0,0.31,1,0,2.0,0.0,28.0,3.5,49.0,0,0,0,0,1,0,0,0,0,1,0,1,1
1102,Turdus merula,aves,passeriformes,turdidae,2.0,0.0,11.5,26.0,0.1025,1,0,0.0,0.0,13.0,3.5,31.5,1,0,1,1,1,0,0,0,1,1,0,1,0
1103,Alopochen aegyptiacus,aves,anseriformes,anatidae,0.0,0.0,20.0,68.0,2.5,1,0,2.0,0.0,29.0,8.0,120.0,1,0,1,1,0,0,0,0,0,1,0,1,1
1104,Grus antigone,aves,gruiformes,gruidae,0.0,1.0,35.0,,6.5,1,0,0.0,0.0,32.5,2.0,92.5,0,0,1,0,1,0,0,0,0,0,0,1,1
1105,Cyanopsitta spixii,aves,psittaciformes,psittacidae,,1.0,33.0,56.0,0.303,1,0,2.0,0.0,26.5,4.5,150.0,0,0,0,0,0,0,0,0,0,1,0,0,1
1106,Spilopelia chinensis,aves,columbiformes,columbidae,2.0,0.0,8.0,30.0,0.16,1,0,2.0,0.0,15.0,1.5,14.0,1,0,1,0,1,0,0,0,0,0,0,1,1
1107,Gyps fulvus,aves,accipitriformes,accipitridae,2.0,0.0,41.0,107.5,8.5,0,0,1.0,0.0,56.0,1.0,120.0,1,0,1,1,0,0,0,0,1,1,0,1,0
1108,Corvus splendens,aves,passeriformes,corvidae,1.0,0.0,6.0,43.0,0.3,1,0,0.0,0.0,16.0,4.0,24.5,1,0,1,1,0,0,0,0,0,0,0,1,1
1109,Ara macao,aves,psittaciformes,psittacidae,0.0,0.0,45.0,81.0,1.0,1,0,2.0,0.0,24.5,3.0,547.5,0,0,0,0,0,0,0,0,0,0,0,0,1
1110,Aptenodytes forsteri,aves,sphenisciformes,spheniscidae,,0.0,20.0,82.5,33.5,1,1,1.0,0.0,63.0,1.0,150.0,0,1,0,0,0,0,0,0,0,0,1,0,0
1111,Leucogeranus leucogeranus,aves,gruiformes,gruidae,0.0,1.0,22.5,121.0,6.0,1,0,0.0,0.0,29.0,2.0,72.5,0,0,1,0,0,0,0,0,1,0,1,0,0
1112,Grus paradisea,aves,gruiformes,gruidae,1.0,1.0,25.0,,4.5,1,0,0.0,0.0,31.5,2.0,120.0,1,0,0,0,0,0,0,0,0,1,0,1,0
1113,Haliaeetus leucocephalus,aves,accipitriformes,accipitridae,2.0,0.0,32.0,86.0,4.5,0,0,1.0,0.0,35.0,2.0,135.0,0,0,1,1,0,0,0,0,1,1,1,1,0
1114,Cacatua alba,aves,psittaciformes,cacatuidae,0.0,1.0,35.0,46.0,0.6,1,0,2.0,0.0,30.0,2.5,105.0,0,0,1,0,0,0,0,0,0,0,0,0,1
1115,Ardea cinerea,aves,pelecaniformes,ardeidae,,0.0,17.5,,1.5,0,0,1.0,0.0,25.5,5.5,50.0,1,0,1,1,1,0,0,0,1,0,0,1,1
1116,Eudyptula minor,aves,sphenisciformes,spheniscidae,1.0,0.0,15.0,,2.0,1,1,1.0,0.0,35.5,1.5,67.5,0,0,0,0,1,0,0,0,0,0,0,1,0
